id,fips_id,state,county_name
1,48001,Texas,Anderson County
2,48003,Texas,Andrews County
3,48005,Texas,Angelina County
4,48007,Texas,Aransas County
5,48009,Texas,Archer County
6,48011,Texas,Armstrong County
7,48013,Texas,Atascosa County
8,48015,Texas,Austin County
9,48017,Texas,Bailey County
10,48019,Texas,Bandera County
11,48021,Texas,Bastrop County
12,48023,Texas,Baylor County
13,48025,Texas,Bee County
14,48027,Texas,Bell County
15,48029,Texas,Bexar County
16,48031,Texas,Blanco County
17,48033,Texas,Borden County
18,48035,Texas,Bosque County
19,48037,Texas,Bowie County
20,48039,Texas,Brazoria County
21,48041,Texas,Brazos County
22,48043,Texas,Brewster County
23,48045,Texas,Briscoe County
24,48047,Texas,Brooks County
25,48049,Texas,Brown County
26,48051,Texas,Burleson County
27,48053,Texas,Burnet County
28,48055,Texas,Caldwell County
29,48057,Texas,Calhoun County
30,48059,Texas,Callahan County
31,48061,Texas,Cameron County
32,48063,Texas,Camp County
33,48065,Texas,Carson County
34,48067,Texas,Cass County
35,48069,Texas,Castro County
36,48071,Texas,Chambers County
37,48073,Texas,Cherokee County
38,48075,Texas,Childress County
39,48077,Texas,Clay County
40,48079,Texas,Cochran County
41,48081,Texas,Coke County
42,48083,Texas,Coleman County
43,48085,Texas,Collin County
44,48087,Texas,Collingsworth County
45,48089,Texas,Colorado County
46,48091,Texas,Comal County
47,48093,Texas,Comanche County
48,48095,Texas,Concho County
49,48097,Texas,Cooke Count
50,48099,Texas,Coryell County
51,48101,Texas,Cottle County
52,48103,Texas,Crane County
53,48105,Texas,Crockett County
54,48107,Texas,Crosby County
55,48109,Texas,Culberson County
56,48111,Texas,Dallam County
57,48113,Texas,Dallas County
58,48115,Texas,Dawson County
59,48117,Texas,Deaf Smith County
60,48119,Texas,Delta County
61,48121,Texas,Denton County
62,48123,Texas,DeWitt County
63,48125,Texas,Dickens County
64,48127,Texas,Dimmit County
65,48129,Texas,Donley County
66,48131,Texas,Duval County
67,48133,Texas,Eastland County
